PaperCode		S1	S2	S3	S4	S5	S6	S7	S8
AE		0	0	0	0	0	0	0	3526
AG		0	0	0	0	0	0	1463	0
AR		0	0	0	6244	0	0	0	0
BT		0	9991	0	0	0	0	0	0
CE		0	0	0	0	59911	0	61194	0
CH		0	17331	0	0	0	0	0	0
CS		0	0	0	0	58929	55302	0	0
CY		0	0	0	17104	0	0	0	0
EC		51906	0	51312	55450	0	0	0	0
EE		0	0	0	0	0	65473	0	66915
EY		0	0	0	0	0	0	870	0
GG		0	6534	0	0	0	0	0	0
IN		0	0	0	16031	0	0	0	0
MA		0	0	0	7458	0	0	0	0
ME		71312	71653	68687	0	0	0	0	0
MN		0	2660	0	0	0	0	0	0
MT		0	0	0	0	0	0	4238	0
PE		0	0	0	2632	0	0	0	0
PH		0	10796	0	0	0	0	0	0
PI		0	0	0	0	0	0	3539	0
TF		0	0	0	0	0	0	0	1543
XE		0	0	0	0	0	0	0	3319
XL		0	0	0	0	0	0	0	11938

