city_name, zone_id, city_code 
Agra, 5, 2
Ahmedabad, 2, 3
Ahmednagar, 2, 4
Ajmer, 3, 5
Alappuzha, 1, 6
Aligarh, 5, 7
Allahabad, 5, 8
Aluva, 1, 9
Alwar, 3, 10
Ambala, 8, 11
Amravati, 2, 12
Amritsar, 8, 13
Anand, 2, 14
Anantapur, 1, 15
Angamaly, 7, 16
Attingal, 1, 18
Aurangabad, 2, 19
Bagalkot, 1, 20
Bahadurgarh, 3, 21
Balasore, 6, 22
Bangalore, 1, 23
Bapatla, 7, 24
Bareilly, 5, 25
Bathinda, 8, 26
Belgaum, 1, 27
Bellary, 1, 28
Bhavnagar, 2, 30
Bhilai, 6, 31
Bhimavaram, 6, 32
Bhopal, 5, 33
Bhubaneswar, 6, 34
Bhuj, 2, 35
Bidar, 1, 36
Bikaner, 3, 37
Chengannur, 1, 40
Chittoor, 7, 43
Coimbatore, 7, 44
Cuddalore, 7, 45
Cuttack, 6, 46
Davengere, 1, 47
Dehradun, 8, 48
Delhi-NCR, 3, 49
Dhanbad, 4, 50
Dindigul, 7, 51
Eluru, 6, 53
Ernakulam, 7, 54
Erode, 7, 55
Faridabad, 3, 56
Gandhinagar, 2, 57
Gangtok, 4, 58
Ghaziabad, 8, 59
Goa, 2, 60
Gudur, 7, 61
Gulbarga, 1, 62
Guntur, 7, 63
Gurgaon, 3, 64
Guwahati, 4, 65
Gwalior, 5, 66
Haldwani-Bhimtal, 8, 67
Hassan, 1, 69
Hisar-Rohtak, 3, 70
Hooghly, 6, 71
Hubli, 1, 72
Idukki, 1, 74
Imphal, 4, 75
Indore, 3, 76
Jabalpur, 5, 77
Jaipur, 3, 78
Jalandhar-Phagwara, 8, 79
Jalgaon, 2, 80
Jammu, 3, 81
Jamshedpur, 6, 82
Jodhpur, 3, 83
Jorhat, 4, 84
Kadapa, 7, 85
Kakinada, 6, 86
Kalyani, 4, 87
Kanjirappally, 1, 88
Kannur, 1, 89
Kanpur, 5, 90
Kanyakumari, 7, 91
Karimnagar, 7, 92
Karnal, 3, 93
Karur, 7, 94
Kasaragod, 1, 95
Khammam, 7, 96
Kharagpur, 6, 97
Kolar, 1, 98
Kolhapur, 2, 99
Kolkata, 6, 100
Kollam, 1, 101
Kota, 3, 102
Kothamangalam, 1, 103
Kottayam, 1, 104
Kozhikode, 1, 105
Kurnool, 1, 106
Kurukshetra, 8, 107
Lucknow, 5, 109
Ludhiana-Moga, 8, 110
Madurai, 7, 111
Malappuram, 1, 113
Mangalore, 1, 114
Manipal, 1, 115
Mathura, 3, 116
Meerut, 8, 117
Moradabad, 8, 118
Mumbai, 2, 119
Muvattupuzha, 1, 120
Mysore, 1, 121
Nagercoil, 7, 122
Nagpur, 2, 123
Nalgonda, 7, 124
Namakkal, 7, 125
Nanded, 2, 126
Nashik, 2, 127
Nedumangad, 1, 129
Nellore, 7, 130
Noida, 8, 132
Ongole, 7, 133
Pala, 1, 134
Palakkad, 1, 135
Palwal, 3, 136
Panchkula, 8, 137
Panipat, 8, 138
Pathankot, 8, 139
Patiala-Sangrur, 8, 140
Patna, 4, 141
Payyanur, 1, 142
Asansol-Durgapur, 4, 17
Chandigarh-Mohali-FatehgarhSahib, 8, 39
Chennai, 7, 41
Hamirpur-Una, 8, 68
Mehsana, 2, 112
New Delhi, 3, 131
Agartala, 4, 1
Hyderabad, 2, 73
Bilaspur, 6, 38
Navi Mumbai, 2, 128
Puducherry(Pondicherry), 7, 144
Punalur, 1, 145
Pune, 2, 146
Raipur, 6, 147
Rajahmundry, 6, 148
Rajkot, 2, 149
Ranchi, 6, 150
Ratnagiri, 2, 151
Roorkee-Muzaffarnagar, 8, 152
Rourkela, 6, 153
Saharanpur, 8, 154
Salem, 7, 155
Sambalpur, 6, 156
Sangli, 2, 157
Satara, 2, 158
Secunderabad, 2, 159
Shillong, 4, 160
Shimoga, 1, 161
Sikar, 3, 162
Silchar, 4, 163
Siliguri, 4, 164
Sirmaur, 8, 165
Solan-Shimla, 8, 166
Solapur, 2, 167
Sonepat, 8, 168
Surat, 2, 169
Tadepalligudem, 6, 170
Tezpur, 4, 171
Thane, 2, 172
Thanjavur, 7, 173
Thiruchengode, 7, 174
Thiruvananthapuram, 7, 175
Thiruvannamalai, 7, 176
Thrissur, 1, 177
Tiruchirapalli, 7, 178
Tirunelveli, 7, 179
Tirupati, 7, 180
Tumkur, 1, 181
Tuticorin, 7, 182
Udaipur-Chittorgarh, 3, 183
Ujjain, 3, 184
Vadakara, 1, 185
Vadodara, 2, 186
Varanasi, 5, 187
Vellore, 7, 188
Vijayawada, 6, 189
Villupuram, 7, 190
Virudhunagar, 7, 191
Visakhapatnam, 6, 192
Warangal, 7, 193
Yamunanagar, 8, 194
Coimbatore, 1, 195
Ernakulam, 1, 196
Thiruvananthapuram, 1, 198
Delhi-NCR, 4, 200
Kolkata, 4, 199
Vizianagaram, 6, 201
Hyderabad, 1, 197
Berhampur, 6, 29
Port Blair, 1, 143
