Zone ID	Zone	City Code	TCS ID 	Centre code	LISP	Add1	Add2	Add3	Pincode	City	State	Max	S1-ME1	S1-EC1	S2-ME2	S2-BT,CH,GG,MN,PH	S3-ME3	S3-EC2	S4-EC3	S4-AR,CY,IN,MA,PE	S5-CS1	S5-CE1	S6-CS2	S6-EE1	S7-CE2	S7-AG,EY,MT,PI	S8-EE2	S8-AE,TF,XL,XE
4	IIT Guwahati	1		4029	ICFAI University Tripura	Agartala Simna Road	P.O- Kamalghat, Sadar, Dist- Tripura West		799210	Agartala	Tripura	80	42	29	31	40	42	29	27	44	0	79	67	0	66	8	70	6
4	IIT Guwahati	1		4030	Tripura University	Suryamaninagar	Tripura West		799022	Agartala	Tripura	60	31	21	23	29	30	20	19	31	0	58	50	0	49	6	51	5
4	IIT Guwahati	1		4031	National Institute of Technology Agartala	P.O.: Former Tripura Engineering College	Barjala, Jirania, West Tripura		799055	Agartala	Tripura	85	41	28	30	39	41	28	26	43	0	83	71	0	70	8	73	5
4	IIT Guwahati	1		4032	Techno India Agartala	Maheshkhola, PO : Anandanagar	Dist: West Tripura		799004	Agartala	Tripura	50	0	0	0	0	0	0	0	0	0	49	41	0	41	4	43	3
4	IIT Guwahati	17		4033	Bengal College of Engineering and Technology (Engg Block)	Shahid Sukumar Banerjee Sarani	Bidhan Nagar		713212	Durgapur	West Bengal	242	134	108	82	160	132	110	5	172	156	76	49	182	145	41	178	46
4	IIT Guwahati	17		4034	Bengal College of Engineering and Technology (Women's Block)	Shahid Sukumar Banerjee Sarani	Bidhan Nagar		713212	Durgapur	West Bengal	89	49	40	35	54	48	41	0	62	58	28	18	67	53	16	66	16
4	IIT Guwahati	17		4035	Asansol Engineering College	Vivekananda Sarani	Kanyapur	Dist.: Burdwan	713305	Asansol	West Bengal	480	329	112	98	271	258	216	0	338	307	149	96	360	0	0	0	0
4	IIT Guwahati	17		4036	Aryabhatta Institute of Engineering and Management	Panagarh Gram	P.O. Panagarh Bazar		713148	Durgapur	West Bengal	179	94	79	53	92	96	80	0	124	114	55	35	134	106	31	131	34
4	IIT Guwahati	17		4037	The New Horizon Institute of Technology	Phase-II, City Center, South G.T. Road	Near Gandhi More		713208	Durgapur	West Bengal	93	49	41	27	47	0	0	0	0	59	28	18	69	55	15	68	17
4	IIT Guwahati	17		4038	Sanaka Educational Trust's Group of Institutions	Villgae: Malandighi	P.S. Kanksha		713212	Durgapur	West Bengal	153	80	67	45	78	0	0	0	0	0	0	0	0	91	25	112	29
4	IIT Guwahati	50		4019	Indian School of Mines Dhanbad	ISM Dhanbad Internal Road	Sardar Patel Nagar		826004	Dhanbad	Jharkhand	300	213	87	0	300	266	34	102	198	221	43	5	258	187	87	268	15
4	IIT Guwahati	50		4020	DAV Public School - Koyla Nagar	BCCL Township	Koyla Nagar		826005	Dhanbad	Jharkhand	112	80	32	0	112	100	12	38	74	84	16	2	98	0	0	0	0
4	IIT Guwahati	50		4021	K.K. Polytechnic	Nairo	P.O.: Bagsuma		828109	Dhanbad	Jharkhand	82	59	23	0	82	73	9	28	54	60	11	1	71	51	23	73	4
4	IIT Guwahati	50		4022	Coalfield Institute of Technology	Near Hindustan Press	Bhelatand	P.O. Nagnagar	826004	Dhanbad	Jharkhand	55	39	16	0	55	49	6	19	36	0	0	0	0	0	0	0	0
4	IIT Guwahati	50		4023	Genius.com Computer Education	MIG - 77 Housing Colony	Bartand	Nearest Land Mark - Dhanbad Bus Stand	826001	Dhanbad	Jharkhand	51	37	14	0	51	46	5	18	33	0	0	0	0	0	0	0	0
4	IIT Guwahati	50		4024	Smart Age Computers	2nd Floor, Anjana Complex, Above Allahabad Bank	Bartand		826001	Dhanbad	Jharkhand	46	33	13	0	46	41	5	15	31	0	0	0	0	0	0	0	0
4	IIT Guwahati	58		4028	Sikkim Manipal Institute of Technology	National Highway 31A	Majitar	East Sikkim	737136	Rangpo	Sikkim	110	0	0	36	12	5	53	0	31	16	50	32	33	44	20	58	6
4	IIT Guwahati	65		4001	Royal Group of Institutions	Betkuchi, Opp. Tirupati Balaji Temple	ISBT, N.H.- 37		781035	Guwahati	Assam	325	188	137	51	274	201	124	63	262	84	241	152	173	0	0	0	0
4	IIT Guwahati	65		4002	Edu Surge Guwahati	Gotanagar, Guwahati Nursury	House No -7, Opp Radisson Blu Hotel	NH 37, Jalukbari	781011	Guwahati	Assam	300	202	98	54	246	123	96	18	271	51	246	139	161	168	48	176	124
4	IIT Guwahati	65		4003	Scholar's Institute of Technology and Management	Garoghuli Road, Garchuk			781035	Guwahati	Assam	170	97	72	27	143	88	65	33	132	43	126	79	86	0	0	0	0
4	IIT Guwahati	65		4004	North Eastern Regional Institute of Management (NERIM)	Padma Nath Sarmah Bhawan, Tripura Road, Jayanagar	Khanapara		781022	Guwahati	Assam	108	61	45	16	92	55	40	20	84	27	79	50	48	0	0	0	0
4	IIT Guwahati	65		4005	Central Institute of Plastic Engineering & Technology (CIPET) - Guwahati	Changsari	Dist. Kamrup		781101	Guwahati	Assam	96	54	40	14	82	49	36	18	75	24	70	44	43	0	0	0	0
4	IIT Guwahati	65		4006	NETES Institute of Technology & Science Mirza	Shantipur	Mirza		781125	Guwahati	Assam	110	62	46	17	93	56	41	21	86	28	81	51	49	0	0	0	0
4	IIT Guwahati	65		4007	TCS ILP CENTRE	5th Floor, NEDFi House	Near Hanuman Mandir, G.S. Road, Dispur 		781006	Guwahati	Assam	130	0	0	0	0	67	49	25	101	0	0	0	0	72	17	75	54
4	IIT Guwahati	65		4008	Assam Engineering Institute	M.R.D. Road, Chandmari			781003	Guwahati	Assam	94	53	39	14	79	48	35	18	73	24	69	43	42	0	0	0	0
4	IIT Guwahati	65		4009	Regional Institute of Science & Technology (RIST)	Techno City, Killing Road	Baridua, 9th Mile		793101	Ri Bhoi	Meghalaya	85	0	0	0	0	43	32	16	65	0	0	0	0	47	11	49	29
4	IIT Guwahati	65		4010	StudyLink Academy	1st Floor, Uzzala Market	Fatasil, A.K Deb Road		781009	Guwahati	Assam	90	51	37	14	74	0	0	0	0	23	66	41	40	0	0	0	0
4	IIT Guwahati	75		4025	Central Institute of Plastic Engineering & Technology (CIPET) - Imphal	Industrial Estate	Takyelpat		795001	Imphal	Manipur	82	0	82	16	43	0	0	40	41	42	18	46	14	54	5	38	21
4	IIT Guwahati	75		4026	National Institute of Technology Manipur (Polytechnic Campus)	Givernment Polytechnic Campus	Takyelpat		795004	Imphal	Manipur	51	0	51	9	26	0	0	0	0	25	11	28	8	33	3	23	13
4	IIT Guwahati	84		4011	Jorhat Engineering College	Village:-Garmur	PO:-JEC		785007	Jorhat	Assam	157	79	78	0	157	98	59	0	157	71	86	72	85	0	0	0	0
4	IIT Guwahati	84		4012	J. B. College	JB College Road	Kakoti Gaon	Tarajan	785001	Jorhat	Assam	52	27	25	0	52	33	19	0	52	23	29	22	29	0	0	0	0
4	IIT Guwahati	87		4039	Kalyani Government Engineering College	Kalyani University Campus	Dist. Nadia		741235	Kalyani	West Bengal	275	98	119	89	153	81	98	0	242	136	133	65	203	0	0	0	0
4	IIT Guwahati	87		4040	Ideal Institute of Engineering	Kalyani Shilpanchal	Opp.: Kalyani Shilpanchal Railway Station	Dist. Nadia	741235	Kalyani	West Bengal	100	38	48	35	60	32	39	0	97	50	49	23	74	0	0	0	0
4	IIT Guwahati	87		4041	JIS College of Engineering	Block A, Phase III	Dist. Nadia		741235	Kalyani	West Bengal	74	0	0	0	0	23	28	0	71	36	36	17	54	32	9	33	40
4	IIT Guwahati	87		4042	Global Institute of Management and Technology	Palpara More	NH -34		741102	Krishnanagar	West Bengal	85	0	0	0	0	0	0	0	0	42	41	20	62	0	0	0	0
4	IIT Guwahati	87		4043	Academy of Technology	G.T. Road	Adisaptagram		712121	Hooghly	West Bengal	250	0	0	0	0	0	0	0	0	0	0	0	0	111	32	111	138
4	IIT Guwahati	141		4015	L. N. Mishra Institute of Economic Development and Social Change	1, Bailey Road	Near Patna High Court		800001	Patna	Bihar	135	96	35	102	28	96	34	94	36	78	53	35	95	0	0	0	0
4	IIT Guwahati	141		4016	UNO Digital Pvt. Ltd. GATE- 1	GATE NO 1, Road No 2, Block 3 	Patliputra Industrial Estate	Near P and M Mall	800013	Patna	Bihar	650	457	162	485	134	457	162	447	172	370	248	167	451	525	35	565	82
4	IIT Guwahati	141		4017	UNO Digital Pvt. Ltd. GATE- 2	GATE NO 2 Road No 3, Block 3	Patliputra Industrial Estate	Near P and M Mall	800013	Patna	Bihar	930	643	228	682	186	642	228	629	242	520	349	235	634	738	48	809	117
4	IIT Guwahati	141		4018	Netaji Subhas Institute of Technology	Amhara	Bihta		801118	Patna	Bihar	230	0	0	0	0	0	0	0	0	132	89	59	159	0	0	0	0
4	IIT Guwahati	160		4027	School of Technology - NEHU	Department of Information Technology, 2nd Floor	School of Technology, NEHU, Umsing, East Khasi Hills		793022	Shillong	Meghalaya	107	19	56	12	63	19	56	15	60	63	43	82	23	99	6	61	44
4	IIT Guwahati	163		4013	National Institute of Technology Silchar	New CSE/ECE Building, Central Computer Centre	NIT Silchar	Dist. Cachar	788010	Silchar	Assam	210	80	91	57	95	80	90	0	118	52	101	103	50	98	54	104	49
4	IIT Guwahati	164		4044	Siliguri Institute of Technology	Salbari	Sukna	Dist. Darjeeling	734009	Siliguri	West Bengal	450	0	0	106	79	47	139	0	146	92	357	207	243	0	0	0	0
4	IIT Guwahati	164		4045	Surendra Institute of Engineering and Management	Dhukuria	Near Gayanjoti More	Dist. Darjeeling	734009	Siliguri	West Bengal	157	0	0	78	59	35	103	0	109	0	0	0	0	45	15	108	49
4	IIT Guwahati	164		4046	Inspiria Knowledge Campus	Himachal Vihar, Phase II	Matigara	Dist. Darjeeling	734010	Siliguri	West Bengal	85	0	0	0	0	0	0	0	0	0	0	0	0	23	7	58	27
4	IIT Guwahati	171		4014	Tezpur University	Napaam	Sonitpur		784028	Tezpur	Assam	206	68	86	47	106	68	85	0	157	65	79	60	46	61	9	20	86
